timestamp,sqm,Usage,TemperatureC,Humidity,Sea Level PressurehPa,Dew PointC,VisibilityKm,WindSpeedKmh,dayOfTheWeek,hourOfTheDay,dayOfTheYear
2014-12-01 00:00:00+00:00,4373.0,1.10000002,6.0,90.0,1015.0,4.5,10.0,6.5,0,0,335
2014-12-01 01:00:00+00:00,4373.0,1.10000002,5.0,90.0,1015.0,3.5,10.0,11.1,0,1,335
2014-12-01 02:00:00+00:00,4373.0,1.19999999,5.5,90.0,1015.0,4.0,10.0,12.05,0,2,335
2014-12-01 03:00:00+00:00,4373.0,1.69999999,6.5,90.0,1015.0,5.0,10.0,8.350000000000001,0,3,335
2014-12-01 04:00:00+00:00,4373.0,1.60000002,7.0,93.0,1015.0,6.0,10.0,10.2,0,4,335
2014-12-01 05:00:00+00:00,4373.0,1.80000001,7.0,93.0,1015.0,6.0,10.0,10.2,0,5,335
2014-12-01 06:00:00+00:00,4373.0,2.1,7.0,93.0,1015.0,6.0,10.0,9.3,0,6,335
2014-12-01 07:00:00+00:00,4373.0,2.1,7.5,90.0,1015.0,6.0,10.0,7.4,0,7,335
2014-12-01 08:00:00+00:00,4373.0,3.9,8.0,93.0,1015.0,7.0,10.0,6.5,0,8,335
2014-12-01 09:00:00+00:00,4373.0,7.700000099999999,8.0,93.0,1015.0,7.0,10.0,7.4,0,9,335
2014-12-01 10:00:00+00:00,4373.0,7.2999997,9.0,87.0,1015.0,7.0,9.0,7.4,0,10,335
2014-12-01 11:00:00+00:00,4373.0,11.9000001,8.5,90.0,1015.0,7.0,7.5,9.3,0,11,335
2014-12-01 12:00:00+00:00,4373.0,10.5250001,9.0,87.0,1014.5,7.0,6.0,8.35,0,12,335
2014-12-01 13:00:00+00:00,4373.0,9.1500001,9.0,87.0,1014.0,7.0,6.5,7.45,0,13,335
2014-12-01 14:00:00+00:00,4373.0,7.7750001,9.0,87.0,1014.0,7.0,7.5,6.5,0,14,335
2014-12-01 15:00:00+00:00,4373.0,6.4000001,8.0,90.0,1014.0,6.5,8.0,5.6,0,15,335
2014-12-01 16:00:00+00:00,4373.0,2.50000001,8.0,93.0,1014.0,7.0,7.5,3.7,0,16,335
2014-12-01 17:00:00+00:00,4373.0,1.5,8.0,93.0,1014.0,7.0,8.0,3.7,0,17,335
2014-12-01 18:00:00+00:00,4373.0,1.40000003,8.0,93.0,1014.0,7.0,7.5,3.7,0,18,335
2014-12-01 19:00:00+00:00,4373.0,1.30000001,8.0,93.0,1014.0,7.0,7.0,2.8,0,19,335
2014-12-01 20:00:00+00:00,4373.0,1.40000003,8.0,93.0,1014.5,7.0,6.5,2.8,0,20,335
2014-12-01 21:00:00+00:00,4373.0,1.10000002,8.0,93.0,1015.0,7.0,7.0,2.8,0,21,335
2014-12-01 22:00:00+00:00,4373.0,1.30000001,7.5,96.5,1015.0,7.0,7.5,5.6,0,22,335
2014-12-01 23:00:00+00:00,4373.0,1.30000001,8.0,93.0,1015.0,7.0,8.5,5.6,0,23,335
2014-12-02 00:00:00+00:00,4373.0,1.30000001,8.0,93.0,1015.0,7.0,8.5,9.3,1,0,336
2014-12-02 01:00:00+00:00,4373.0,1.20000004,8.0,93.0,1015.0,7.0,9.0,13.0,1,1,336
2014-12-02 02:00:00+00:00,4373.0,1.30000001,8.0,93.0,1015.5,7.0,7.0,9.25,1,2,336
2014-12-02 03:00:00+00:00,4373.0,1.19999999,8.0,93.0,1016.0,7.0,10.0,12.95,1,3,336
2014-12-02 04:00:00+00:00,4373.0,1.20000004,8.5,87.5,1016.5,6.5,10.0,18.5,1,4,336
2014-12-02 05:00:00+00:00,4373.0,1.30000001,8.0,87.0,1017.0,6.0,10.0,18.5,1,5,336
2014-12-02 06:00:00+00:00,4373.0,1.19999999,8.0,78.5,1018.0,4.5,10.0,25.0,1,6,336
2014-12-02 07:00:00+00:00,4373.0,1.69999999,8.0,71.0,1019.0,3.0,10.0,25.950000000000003,1,7,336
2014-12-02 08:00:00+00:00,4373.0,3.5,8.0,71.0,1020.0,3.0,10.0,25.0,1,8,336
2014-12-02 09:00:00+00:00,4373.0,7.5,8.0,66.0,1020.5,2.0,10.0,26.85,1,9,336
2014-12-02 10:00:00+00:00,4373.0,8.3,8.0,66.0,1021.0,2.0,10.0,27.75,1,10,336
2014-12-02 11:00:00+00:00,4373.0,9.8999996,8.0,62.0,1022.0,1.0,10.0,29.65,1,11,336
2014-12-02 12:00:00+00:00,4373.0,11.700000300000001,8.0,62.0,1022.0,1.0,10.0,30.55,1,12,336
2014-12-02 13:00:00+00:00,4373.0,9.266666866666668,8.0,59.5,1023.0,0.5,10.0,28.7,1,13,336
2014-12-02 14:00:00+00:00,4373.0,6.833333433333334,8.0,55.0,1023.0,-0.5,10.0,24.1,1,14,336
2014-12-02 15:00:00+00:00,4373.0,4.4,7.0,55.0,1024.0,-1.5,10.0,24.049999999999997,1,15,336
2014-12-02 16:00:00+00:00,4373.0,1.79999999,5.5,61.0,1024.5,-1.5,10.0,18.5,1,16,336
2014-12-02 17:00:00+00:00,4373.0,1.59999997,5.0,61.0,1025.0,-2.0,10.0,21.299999999999997,1,17,336
2014-12-02 18:00:00+00:00,4373.0,1.5,5.0,65.0,1025.5,-1.0,10.0,17.6,1,18,336
2014-12-02 19:00:00+00:00,4373.0,1.0,4.0,70.0,1026.0,-1.0,10.0,13.0,1,19,336
2014-12-02 20:00:00+00:00,4373.0,1.39999998,3.5,72.5,1026.0,-1.0,10.0,14.85,1,20,336
2014-12-02 21:00:00+00:00,4373.0,1.19999999,3.0,75.0,1027.0,-1.0,10.0,18.549999999999997,1,21,336
